Title,Company,Rating,Reviews,Experience,Salary,Location,Job_Description,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Posted_On,Category,Exp_Min_Years,Salary_Mid_LPA,City
Analytics Data science and IOT Lead,Hexaware Technologies,3.7,4830  Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience on Gen AI ((ChatGPT, LLAMA 2, etc)), Vector databases, Lang Chain, Llama Ind...",Automation,Prototype,Enterprise architecture,Project management,Pharma,Machine learning,Healthcare,Unit testing,6 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Analytics Data science and IOT Lead,Hexaware Technologies,3.7,4830  Reviews,5-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Experience on Gen AI ((ChatGPT, LLAMA 2, etc)), Vector databases, Lang Chain, Llama Ind...",Automation,Prototype,Enterprise architecture,Project management,Pharma,Machine learning,Healthcare,Unit testing,6 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Data Scientist : MLOps,Axtria,3.3,434  Reviews,3-6 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru",We are looking for professionals who can join us in our Data Science team in MLOps for ...,MLOps,Python,Cloud,Data,,,,,3 Days Ago,Data_Science_Analytics,3.0,,Hyderabad
Machine Learning Specialist,Axtria,3.3,434  Reviews,6-11 Yrs,18-33 Lacs PA,"Hybrid - Hyderabad, Pune, Bengaluru","Minimum exp - 5 - 12yrs. Should be from Tier1 / Tier2 Colleges only (10th, 12th and Gra...",Data Science,generativeAI,Machine Learning,mlops,Ml Algorithms,Deep Learning,Predictive Analytics,Data,3 Days Ago,Data_Science_Analytics,6.0,25.5,Hyderabad
AI Engineer,Calsoft,3.2,292  Reviews,2-6 Yrs,Not disclosed,"Pune, Bengaluru","Very strong proficiency in Python, including experience with AI and ML frameworks (e.g....",Pytorch,Tensorflow,Generative AI,Artificial Intelligence,Python Development,Intelligence,Python,Development,3 Days Ago,Data_Science_Analytics,2.0,,Pune
S&C Global Network - AI - Supply Chain Analytics - Manager,Accenture,4.0,46775  Reviews,10-12 Yrs,Not disclosed,Pune,Ideal candidates should have a bachelors degree preferably in Industrial/ Production/ S...,supply chain,demand planning,data science,manufacturing operations,inventory planning,advanced analytics,logistics planning,production,15 Days Ago,Data_Science_Analytics,10.0,,Pune
S&C Global Network - AI - Telecom Analytics - Analyst,Accenture,4.0,46775  Reviews,2-5 Yrs,Not disclosed,"Mumbai, Hyderabad, Gurugram","He / she should be strong in Telco domain, AI fundamentals and should have good hands-o...",telecommunication,sql,telco,network analysis,telecom,switching,project management,python,16 Days Ago,Data_Science_Analytics,2.0,,Mumbai
S&C Global Network - AI - Telecom Analytics - Manager,Accenture,4.0,46775  Reviews,10-12 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru",Overall 10+ years of experience in Data Science & at least 5 years in Telecom Analytics...,mathematics,data mining,data science,telco,statistics,cnn,python,natural language processing,16 Days Ago,Data_Science_Analytics,10.0,,Mumbai
S&C Global Network - AI - GenAI - Marketing Analytics - Analyst,Accenture,4.0,46775  Reviews,2-5 Yrs,Not disclosed,"Mumbai, Hyderabad, Gurugram","Demonstrate strong communication skills, both verbal and written, to effectively convey...",sql,data science,python,microsoft azure,aws,switching,eigrp,network engineering,16 Days Ago,Data_Science_Analytics,2.0,,Mumbai
S&C Global Network - AI - Supply Chain Analytics - Consultant,Accenture,4.0,46775  Reviews,5-6 Yrs,Not disclosed,"Mumbai, Hyderabad, Gurugram",Entity:- Accenture Strategy & ConsultingTeam:- Global Network Data & AIPractice:- Suppl...,python,data manipulation,pyspark,data modeling,data visualization,anaplan,supply chain,microsoft azure,16 Days Ago,Data_Science_Analytics,5.0,,Mumbai
S&C Global Network - AI - Telecom Analytics - Analyst,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru",Entity:- Accenture Strategy & ConsultingTeam:- Global Network - Data & AIPractice:- Com...,mathematics,data mining,data science,telco,statistics,switching,cnn,python,16 Days Ago,Data_Science_Analytics,3.0,,Mumbai
Partner Technical Specialist - Data and AI,IBM,4.1,19385  Reviews,8-12 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Experiential selling including co-creation and hands-on technical sales methods such as...,advanced analytics,business analytics,budgeting,artificial intelligence,data lake,hive,python,ssas,Just Now,Data_Science_Analytics,8.0,,Mumbai
GN - SC&O - S&P - CLM - Manager,Accenture,4.0,46775  Reviews,8-12 Yrs,Not disclosed,"Mumbai, Bengaluru, Delhi / NCR",Experience in a consulting firm and global exposure is desirable Preferred Icertis Prac...,spend analysis,data analytics,data interpretation,presentation skills,market research,contract management,life cycle management,power bi,25 Days Ago,Data_Science_Analytics,8.0,,Mumbai
Business Analyst,Synechron,3.7,2394  Reviews,2-6 Yrs,Not disclosed,"Mumbai, Bengaluru",". Qualification: . Bachelors degree in Computer Science, Business Administration or rel...",Computer science,Business administration,Project development,Interpersonal skills,Process mapping,Team management,Business Analyst,Business analysis,1 Day Ago,Data_Science_Analytics,2.0,,Mumbai
GN-Comms & Media- Non Networks - Analyst,Accenture,4.0,46775  Reviews,1-6 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR",All Levels Comms & Media Non-NetworksJoin our team in Strategy consulting to find endle...,bss,program management,microsoft azure,telco,telecom,confluence,data analysis,team management,20 Days Ago,Data_Science_Analytics,1.0,,Mumbai
S&C Global Network - AI - Supply Chain Analytics - Consultant,Accenture,4.0,46775  Reviews,5-6 Yrs,Not disclosed,Mumbai,Entity:- Accenture Strategy & ConsultingTeam:- Global Network Data & AIPractice:- Suppl...,python,data manipulation,pyspark,data modeling,data visualization,anaplan,supply chain,microsoft azure,16 Days Ago,Data_Science_Analytics,5.0,,Mumbai
Data Engineer,IBM,4.1,19385  Reviews,2-4 Yrs,Not disclosed,Mumbai,"In this role, you will work in one of our IBM Consulting Client Innovation Centers (Del...",informatica powercenter,information management,data warehousing,business intelligence,splunk,python,power bi,relational sql,Few Hours Ago,Data_Science_Analytics,2.0,,Mumbai
Data Scientist - CROCI Investment Strategy,Deutsche Bank,4.0,2817  Reviews,3-5 Yrs,Not disclosed,Mumbai,Your skills and experience. Bachelors/ Masters or international equivalent degree in En...,Python programming,C#,Matplotlib,Java,Investment Strategy,VBA,portfolio returns analysis,Data Scientist,Few Hours Ago,Data_Science_Analytics,3.0,,Mumbai
"Risk Senior Specialist, AVP",Deutsche Bank,4.0,2817  Reviews,7-12 Yrs,Not disclosed,Mumbai,Masters in Mathematics Statistics Econometrics/ PGDM/ MBA Your skills and experience . ...,Python,credit risk management,front office,market risk management,var,wealth management,stress testing,fixed income,1 Day Ago,Data_Science_Analytics,7.0,,Mumbai
Sr Power BI Developer,PwC Service Delivery Center,3.6,7216  Reviews,5-10 Yrs,Not disclosed,"Noida, Kolkata, Bengaluru",Responsible for design methodology and project documentaries. . Should be able to devel...,Power BI,DAX,Dashboards,Bi,Development,SR,,,5 Days Ago,Data_Science_Analytics,5.0,,Noida
Business Analyst,Acuity Knowledge Partners,3.5,806  Reviews,5-10 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Experience using various business models (Flow charts or diagrams) to analyze requireme...,Use Cases,Requirement Gathering,User Stories,Business Analysis,Wireframing,Gap Analysis,Mockups,Wireframe,3 Days Ago,Data_Science_Analytics,5.0,,Bangalore/Bengaluru
Generative AI SME (Azure),PwC Service Delivery Center,3.6,7216  Reviews,3-7 Yrs,7-14 Lacs PA,Bangalore Rural,Mandatory skills are:1. Azure2. Machine Learning 3. Gen AI Experience Range - 3-7 years...,Gen AI,Azure,Machine Learning,Machine,Artificial Intelligence,SME,Gen,Microsoft Azure,3 Days Ago,Data_Science_Analytics,3.0,10.5,Bangalore Rural
Adobe Analytics,PwC Service Delivery Center,3.6,7216  Reviews,2-4 Yrs,5-14 Lacs PA,Bangalore Rural,Experience into Adobe Launch (must have). Experience in JavaScript (must have). The ope...,Adobe Launch,Javascript,Aep,Launch,Adobe,Adobe Analytics,Analytics,,3 Days Ago,Data_Science_Analytics,2.0,9.5,Bangalore Rural
Business Data Specialist,Caterpillar Inc,4.3,1018  Reviews,3-6 Yrs,Not disclosed,Bengaluru,We are seeking a skilled  Business Analyst (  Business Data Specialist)   to join our ...,Business process,Automation,Business Analyst,Data management,Coding,Reconciliation,Corporate finance,Data quality,3 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Data Analytics,Yokogawa,3.7,437  Reviews,5-8 Yrs,Not disclosed,Bengaluru,"Bachelors / Masters degree with specialization in Computer Science, IT, or other comput...",Data Analytics,SDLC,Salesforce,Analytics,Data,,,,4 Days Ago,Data_Science_Analytics,5.0,,Bengaluru
Senior AI/ML Architect- Iqvia,IQVIA,4.0,3562  Reviews,10-18 Yrs,Not disclosed,"Hybrid - Kochi, Bengaluru","Greetings, IQVIA is hiring for Senior AI/ML Architect for Bangalore/Kochi location. Int...",AI,Machine Learning,Python,NLP,Natural Language Processing,Ml,Process,Processing,7 Days Ago,Data_Science_Analytics,10.0,,Kochi
Senior Lead Engineer - Machine Learning,"Qualcomm Technologies, Inc",4.0,801  Reviews,10-20 Yrs,Not disclosed,Bengaluru,". Bachelors degree in Computer Science . ., or related Engineering field with 1 . 0 . +...",C++,Data analysis,Prototype,Image processing,Machine learning,Signal processing,Sensors,Robotics,5 Days Ago,Data_Science_Analytics,10.0,,Bengaluru
Data Analyst,IQVIA,4.0,3562  Reviews,1-6 Yrs,8-18 Lacs PA,Hybrid - Bengaluru,"Educational Qualification: bachelors degree Statistics, Mathematics, Life Sciences or D...",Healthcare Domain,Data Analysis,Python,SQL,Real World Evidence,Pyspark,RWE,SAS,5 Days Ago,Data_Science_Analytics,1.0,13.0,Bengaluru
GN - SONG - MT - Web Analytics and Insights - Consultant,Accenture,4.0,46775  Reviews,4-9 Yrs,Not disclosed,Bengaluru,"The Strategy & Consulting Global Network Song Practice | | Martech Platforms - Google, ...",advertising,sql,digital analytics,marketing,web technologies,css,jquery,sales,5 Days Ago,Data_Science_Analytics,4.0,,Bengaluru
Data Engineer II - Couchbase,AMERICAN EXPRESS,4.2,2680  Reviews,3-8 Yrs,Not disclosed,Bengaluru,We are looking for a highly motivated Senior Data Engineer (DBA) with good underst...,Career development,Change management,Automation,Production support,Db2,Finance,Disaster recovery,Troubleshooting,6 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Azure Data Engineer,PwC Service Delivery Center,3.6,7216  Reviews,4-7 Yrs,5-15 Lacs PA,Bangalore Rural,Below is the JD.Mandatory skills :Azure Data FactoryDatabricks(Spark)PysparkImmediate t...,Pyspark,Azure Databricks,Spark,Data Bricks,Azure Data Factory,Bricks,Microsoft Azure,Factory,3 Days Ago,Data_Science_Analytics,4.0,10.0,Bangalore Rural
GN - SC&O - BPM - Analyst,Accenture,4.0,46775  Reviews,3-6 Yrs,Not disclosed,Bengaluru,Generative AI & Intelligent Automation Consulting PractitionerLead the design and deliv...,abbyy,presentation skills,artificial intelligence,aws,process transformation,c#,rpa,automation anywhere,6 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
S&C Global Network - AI - Retail Analytics - Consultant,Accenture,4.0,46775  Reviews,5-10 Yrs,Not disclosed,Hyderabad,"Youll work with Accentures certified AWS / Azure/GCP practitioners, and Accenture will ...",data analysis,natural language processing,machine learning,statistical modeling,quantitative analysis,cnn,data interpretation,customer relationship,6 Days Ago,Data_Science_Analytics,5.0,,Hyderabad
Associate Manager - Business Intelligence,Novo Nordisk,4.2,814  Reviews,3-6 Yrs,Not disclosed,Bengaluru,The Commercial Analytics team is part of Finance Global Business Services (GBS) a...,Business services,Service level,Interpersonal skills,Process improvement,Healthcare,healthcare analytics,MS Office,Manager Business Intelligence,7 Days Ago,Data_Science_Analytics,3.0,,Bengaluru
Content Development Specialist - Data & AI,Accenture,4.0,46775  Reviews,5-10 Yrs,Not disclosed,Gurugram,"Our stakeholders are senior leaders within Accenture leading the industry and CALs, acc...",proposal development,sales,story writing,product management,agile,project management,written and oral communication,advertising,3 Days Ago,Data_Science_Analytics,5.0,,Gurugram
S&C Global Network - AI - Life Sciences -Data Science Consultant,Accenture,4.0,46775  Reviews,2-6 Yrs,Not disclosed,Gurugram,Make presentations wherever required to a known audience or client on functional aspect...,python,data engineering,business intelligence,artificial intelligence,data science,data analysis,data analytics,natural language processing,6 Days Ago,Data_Science_Analytics,2.0,,Gurugram
S&C Global Network - AI - Industrial - Consultant Data Science,Accenture,4.0,46775  Reviews,3-8 Yrs,Not disclosed,Gurugram,Bachelors or masters degree in Statistics / Economics / Mathematics /Computer Science o...,erp,python,natural language processing,plm,mes,mathematics,ai solutions,historian,6 Days Ago,Data_Science_Analytics,3.0,,Gurugram
Business Analyst || Market Risk || Immediate Joiners,Evalueserve,3.4,1027  Reviews,5-10 Yrs,Not disclosed,Hybrid - Gurugram,"Job Title: Business AnalystLocation: Mumbai, Gurugram, BangaloreType: Permanent We woul...",User Acceptance Testing,Market Risk,Requirement Gathering,Data Analysis,Python,Basel,Brd,FRD,3 Days Ago,Data_Science_Analytics,5.0,,Gurugram
Senior Statistical Programmer,Cytel,4.2,45  Reviews,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",". Bachelors or Masterss degree in Computer Science, Statistics, or related health scien...",Operations research,Data migration,QMS,Standard operating procedures,Programming,Life sciences,SAS Programming,HR,3 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Principal Statistician - Early Development,Cytel,4.2,45  Reviews,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Qualifications and Experience: . Masters degree in Statistics or equivalent & 5 years o...,Neurology,Data analysis,Hematology,Clinical trials,clinical development,Data collection,Oncology,HR,5 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Statistical Programmer,Cytel,4.2,45  Reviews,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Qualifications and Experience: . Masters in Sciences, with a minimum of 5 years of SAS ...",Data migration,SAP,Publishing,QMS,Standard operating procedures,clinical development,Programming,SAS Programming,5 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Senior Statistical Programmer,Cytel,4.2,45  Reviews,7-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Qualifications & Experience: . Masters degree, preferably in a scientific discipline su...",Statistical programming,Operations research,SAS,Pharma,clinical development,Life sciences,SAS Programming,Macros,6 Days Ago,Data_Science_Analytics,7.0,,Kolkata
Analytics Data science and IOT Engineer,Hexaware Technologies,3.7,4830  Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Bachelor s degree / Masters Degree with high rankings from reputed colleges . 3+ years ...,Automation,Data analysis,Data modeling,Delivery Analyst,Database,Data quality,Analytics,SQL,10 Days Ago,Data_Science_Analytics,3.0,,Kolkata
Senior Domain Consultant - Banking,Hexaware Technologies,3.7,4830  Reviews,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Qualifications: . Bachelors degree in Business Administration, Finance, Computer Scienc...",Computer science,Data analysis,PMP,Business Analyst,Business analysis,Analytical,Retail banking,Gap analysis,12 Days Ago,Data_Science_Analytics,8.0,,Kolkata
Sr. Business Analyst,Essenware,4.7,4  Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. 3+ years experience in Cerner integrations and issue resolution . Ability to review i...,Coding,Accounting,Billing,Issue resolution,IT Support Analyst,Troubleshooting,Revenue cycle management,Operations,12 Days Ago,Data_Science_Analytics,3.0,,Kolkata
Sr. Business Analyst,Essenware,4.7,4  Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","To ensure successful initiation, planning, execution, control and completion of the ...",Project development,Production support,Compliance,KPI,Senior Business Analyst,software quality,Technical documentation,Software,12 Days Ago,Data_Science_Analytics,2.0,,Kolkata
Data Architect,Essenware,4.7,4  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Knowledge of the current Cloud industry and technical trends therein. Microsoft Certifi...,Architecture,Cloud Services,Consulting,Data Architect,Data analytics,Technology solutions,microsoft,RFP,12 Days Ago,Data_Science_Analytics,5.0,,Kolkata
Sr. Business Analyst,Essenware,4.7,4  Reviews,3-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Cerner Invision Application support, Incident resolution, Implementation of Ce...",Application support,Automation,Helpdesk,Reconciliation,Remote desktop,Windows,Visual Studio,Troubleshooting,12 Days Ago,Data_Science_Analytics,3.0,,Kolkata
ML Engineer,Essenware,4.7,4  Reviews,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. System Integration: Skills to integrate ML models into existing systems for seamless ...,Usage,Neural networks,Machine learning,System integration,Programming,model development,Deployment,big data,12 Days Ago,Data_Science_Analytics,1.0,,Kolkata
Sr. Business Analyst,Essenware,4.7,4  Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Familiarity and / or experience (extensive preferred): 7 years minimum . Must be willin...,information system,Data management,Radiology,Siemens,Workflow,Senior Business Analyst,informatics,Troubleshooting,12 Days Ago,Data_Science_Analytics,2.0,,Kolkata
Data Scientist,Essenware,4.7,4  Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","To ensure successful initiation, planning, execution, control and completion of the ...",Project development,Matrix,Production support,Compliance,KPI,Mentor,software quality,Technical documentation,12 Days Ago,Data_Science_Analytics,2.0,,Kolkata
Data Integrator,Essenware,4.7,4  Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Python Full Stack developer Deployment experience in AWS (Must), Flask (Must), Experien...",tableau,power bi,Deployment,Data Analyst,AWS,SQL,Python,Data integrator,12 Days Ago,Data_Science_Analytics,2.0,,Kolkata
Data Engineer,Essenware,4.7,4  Reviews,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","To ensure successful initiation, planning, execution, control and completion of the ...",Project development,Matrix,Production support,Compliance,Mentor,software quality,Technical documentation,Data,12 Days Ago,Data_Science_Analytics,1.0,,Kolkata
Data Architect,Essenware,4.7,4  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Provide technical and other guidance as required to the team and assess the performance...,Process monitoring,Project implementation,Compliance,Data Architect,Manager Technology,Quality Planning,Technical Lead,Project planning,12 Days Ago,Data_Science_Analytics,5.0,,Kolkata
